"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-29 09:08:11.258","16","6441","검역","隔離區","Lazaretto","3","6281","0","3","-","13575","2021년 11월 29일 00시","null","10","1","19"
"","","2021-11-29 09:08:11.258","9","3682","제주","济州","Jeju","44","3390","43","1","546","13574","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.258","56","14955","경남","庆南","Gyeongsangnam-do","86","13997","85","1","448","13573","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.258","108","11200","경북","庆北","Gyeongsangbuk-do","68","10310","67","1","424","13572","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.257","26","4383","전남","全南","Jeollanam-do","28","3940","28","0","237","13571","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.257","74","6282","전북","全北","Jeollabuk-do","49","5786","49","0","348","13570","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.257","77","12849","충남","忠南","Chungcheongnam-do","53","11630","50","3","606","13569","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.257","91","8786","충북","忠北","Chungcheongbuk-do","33","8384","33","0","549","13568","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.256","72","8556","강원","江原","Gangwon-do","56","7735","55","1","555","13567","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.256","1175","132565","경기","京畿","Gyeonggi-do","910","118087","905","5","987","13566","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.256","2","1538","세종","世宗","Sejong","15","1429","15","0","432","13565","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.256","57","5637","울산","蔚山","Ulsan","2","5498","2","0","496","13564","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.256","64","8512","대전","大田","Daejeon","43","7934","43","0","581","13563","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.255","30","6233","광주","光州","Gwangju","61","5739","61","0","430","13562","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.255","143","24426","인천","仁川","Incheon","233","21627","233","0","830","13561","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.255","314","18880","대구","大邱","Daegu","88","17799","87","1","781","13560","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.255","182","16175","부산","釜山","Busan","144","14747","144","0","477","13559","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.254","1084","153100","서울","首尔","Seoul","1393","129304","1386","7","1583","13558","2021년 11월 29일 00시","null","","",""
"","","2021-11-29 09:08:11.254","3580","444200","합계","合计","Total","3309","393617","3286","23","857","13557","2021년 11월 29일 00시","null","","",""
