"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-15 09:43:21.875","16","6363","검역","隔離區","Lazaretto","5","6219","128","0","5","-","13309","2021년 11월 15일 00시","null","10","1","19"
"","","2021-11-15 09:43:21.875","7","3284","제주","济州","Jeju","10","3136","141","10","0","487","13308","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.875","45","13860","경남","庆南","Gyeongsangnam-do","46","13079","736","44","2","415","13307","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.874","98","10369","경북","庆北","Gyeongsangbuk-do","34","9718","553","34","0","393","13306","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.874","24","3860","전남","全南","Jeollanam-do","19","3595","241","19","0","208","13305","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.874","69","5692","전북","全北","Jeollabuk-do","38","5241","382","38","0","316","13304","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.874","68","11613","충남","忠南","Chungcheongnam-do","57","10673","872","57","0","548","13303","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.873","87","8383","충북","忠北","Chungcheongbuk-do","18","7966","330","18","0","524","13302","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.873","68","7645","강원","江原","Gangwon-do","35","7237","340","35","0","496","13301","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.873","1030","119036","경기","京畿","Gyeonggi-do","602","108075","9931","596","6","887","13300","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.873","2","1403","세종","世宗","Sejong","1","1374","27","1","0","394","13299","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.873","57","5519","울산","蔚山","Ulsan","4","5404","58","3","1","486","13298","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.872","56","7885","대전","大田","Daejeon","33","7556","273","33","0","539","13297","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.872","29","5649","광주","光州","Gwangju","26","5412","208","25","1","390","13296","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.872","119","21523","인천","仁川","Incheon","102","19379","2025","102","0","731","13295","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.872","290","17926","대구","大邱","Daegu","49","17063","573","48","1","741","13294","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.871","171","14788","부산","釜山","Busan","68","13919","698","67","1","436","13293","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.871","879","132668","서울","首尔","Seoul","859","117788","14001","856","3","1372","13292","2021년 11월 15일 00시","null","","",""
"","","2021-11-15 09:43:21.871","3115","397466","합계","合计","Total","2006","362834","31517","1986","20","767","13291","2021년 11월 15일 00시","null","","",""
