"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-12-04 09:17:37.919","16","6489","검역","隔離區","Lazaretto","4","6300","0","4","-","13708","2021년 12월 04일 00시","null","10","1","19"
"","","2021-12-04 09:17:37.919","9","3803","제주","济州","Jeju","21","3497","21","0","564","13707","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.918","58","15449","경남","庆南","Gyeongsangnam-do","114","14385","114","0","463","13706","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.918","111","11643","경북","庆北","Gyeongsangbuk-do","90","10519","87","3","441","13705","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.918","27","4585","전남","全南","Jeollanam-do","52","4061","51","1","248","13704","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.918","78","6584","전북","全北","Jeollabuk-do","65","5963","65","0","365","13703","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.918","84","13463","충남","忠南","Chungcheongnam-do","133","11921","131","2","635","13702","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.917","93","9095","충북","忠北","Chungcheongbuk-do","56","8526","56","0","568","13701","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.917","75","9100","강원","江原","Gangwon-do","114","8073","114","0","590","13700","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.917","1255","139686","경기","京畿","Gyeonggi-do","1675","119545","1671","4","1040","13699","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.917","2","1603","세종","世宗","Sejong","8","1466","8","0","450","13698","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.917","57","5702","울산","蔚山","Ulsan","7","5548","7","0","502","13697","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.916","71","9032","대전","大田","Daejeon","126","8136","126","0","617","13696","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.916","31","6437","광주","光州","Gwangju","39","5987","38","1","444","13695","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.916","161","25890","인천","仁川","Incheon","284","22212","282","2","880","13694","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.916","320","19303","대구","大邱","Daegu","90","18081","89","1","798","13693","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.915","183","16897","부산","釜山","Busan","201","15173","201","0","498","13692","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.915","1178","163146","서울","首尔","Seoul","2273","136150","2266","7","1687","13691","2021년 12월 04일 00시","null","","",""
"","","2021-12-04 09:17:37.915","3809","467907","합계","合计","Total","5352","405543","5327","25","903","13690","2021년 12월 04일 00시","null","","",""
