"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-16 08:46:07.652","16","6364","검역","隔離區","Lazaretto","1","6219","129","0","1","-","13328","2021년 11월 16일 00시","null","10","1","19"
"","","2021-11-16 08:46:07.652","7","3327","제주","济州","Jeju","43","3140","180","43","0","493","13327","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.652","46","13905","경남","庆南","Gyeongsangnam-do","45","13127","732","45","0","416","13326","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.652","98","10378","경북","庆北","Gyeongsangbuk-do","9","9767","513","9","0","393","13325","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.651","25","3889","전남","全南","Jeollanam-do","29","3630","234","29","0","210","13324","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.651","69","5748","전북","全北","Jeollabuk-do","56","5271","408","55","1","319","13323","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.651","68","11655","충남","忠南","Chungcheongnam-do","42","10772","815","42","0","549","13322","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.651","88","8411","충북","忠北","Chungcheongbuk-do","28","8018","305","28","0","525","13321","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.65","68","7696","강원","江原","Gangwon-do","51","7290","338","51","0","499","13320","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.65","1036","119695","경기","京畿","Gyeonggi-do","658","108390","10269","653","5","891","13319","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.65","2","1409","세종","世宗","Sejong","6","1375","32","6","0","396","13318","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.65","57","5528","울산","蔚山","Ulsan","9","5412","59","9","0","487","13317","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.65","56","7920","대전","大田","Daejeon","35","7575","289","35","0","541","13316","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.649","29","5660","광주","光州","Gwangju","11","5432","199","11","0","390","13315","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.649","120","21654","인천","仁川","Incheon","131","19456","2078","131","0","736","13314","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.649","290","17964","대구","大邱","Daegu","38","17095","579","38","0","743","13313","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.649","172","14875","부산","釜山","Busan","87","13964","739","86","1","439","13312","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.648","890","133513","서울","首尔","Seoul","846","118566","14057","839","7","1381","13311","2021년 11월 16일 00시","null","","",""
"","","2021-11-16 08:46:07.648","3137","399591","합계","合计","Total","2125","364499","31955","2110","15","771","13310","2021년 11월 16일 00시","null","","",""
