"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-14 09:40:13.21","16","6358","검역","隔離區","Lazaretto","3","6219","123","0","3","-","13290","2021년 11월 14일 00시","null","10","1","19"
"","","2021-11-14 09:40:13.21","7","3274","제주","济州","Jeju","14","3125","142","14","0","485","13289","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.21","45","13814","경남","庆南","Gyeongsangnam-do","44","13052","717","44","0","414","13288","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.209","98","10335","경북","庆北","Gyeongsangbuk-do","42","9682","555","41","1","392","13287","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.209","24","3841","전남","全南","Jeollanam-do","26","3588","229","26","0","207","13286","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.209","69","5654","전북","全北","Jeollabuk-do","44","5226","359","44","0","313","13285","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.209","68","11556","충남","忠南","Chungcheongnam-do","54","10646","842","53","1","545","13284","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.209","87","8365","충북","忠北","Chungcheongbuk-do","27","7937","341","27","0","523","13283","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.208","68","7610","강원","江原","Gangwon-do","31","7230","312","31","0","493","13282","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.208","1023","118434","경기","京畿","Gyeonggi-do","800","107188","10223","797","3","882","13281","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.208","2","1402","세종","世宗","Sejong","2","1373","27","2","0","394","13280","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.208","57","5515","울산","蔚山","Ulsan","7","5399","59","7","0","485","13279","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.207","56","7852","대전","大田","Daejeon","18","7549","247","18","0","536","13278","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.207","29","5623","광주","光州","Gwangju","19","5398","196","19","0","388","13277","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.207","118","21421","인천","仁川","Incheon","156","19305","1998","155","1","728","13276","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.207","289","17877","대구","大邱","Daegu","72","17033","555","72","0","739","13275","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.207","171","14720","부산","釜山","Busan","82","13866","683","82","0","434","13274","2021년 11월 14일 00시","null","","",""
"","","2021-11-14 09:40:13.206","876","131809","서울","首尔","Seoul","978","117075","13858","969","9","1363","13273","2021년 11월 14일 00시","null","","",""
