"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-24 09:02:32.134","16","6414","검역","隔離區","Lazaretto","7","6255","0","7","-","13480","2021년 11월 24일 00시","null","10","1","19"
"","","2021-11-24 09:02:32.134","9","3515","제주","济州","Jeju","22","3263","22","0","521","13479","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.134","50","14534","경남","庆南","Gyeongsangnam-do","87","13597","87","0","435","13478","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.134","100","10720","경북","庆北","Gyeongsangbuk-do","65","10143","65","0","406","13477","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.133","25","4214","전남","全南","Jeollanam-do","52","3779","52","0","228","13476","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.133","72","6057","전북","全北","Jeollabuk-do","34","5558","34","0","336","13475","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.133","76","12400","충남","忠南","Chungcheongnam-do","291","11303","291","0","585","13474","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.133","89","8625","충북","忠北","Chungcheongbuk-do","40","8267","40","0","539","13473","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.133","71","8204","강원","江原","Gangwon-do","65","7504","62","3","532","13472","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.132","1101","127234","경기","京畿","Gyeonggi-do","1184","113092","1176","8","948","13471","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.132","2","1472","세종","世宗","Sejong","7","1395","7","0","414","13470","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.132","57","5598","울산","蔚山","Ulsan","11","5461","11","0","493","13469","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.132","58","8284","대전","大田","Daejeon","51","7765","51","0","566","13468","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.132","30","6019","광주","光州","Gwangju","46","5598","45","1","415","13467","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.131","132","23119","인천","仁川","Incheon","221","20508","219","2","786","13466","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.131","303","18426","대구","大邱","Daegu","78","17520","78","0","762","13465","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.131","178","15583","부산","釜山","Busan","120","14401","118","2","459","13464","2021년 11월 24일 00시","null","","",""
"","","2021-11-24 09:02:32.131","993","144646","서울","首尔","Seoul","1734","124968","1729","5","1496","13463","2021년 11월 24일 00시","2021-11-24 13:29:40.336","","",""
"","","2021-11-24 09:02:32.13","3362","425064","합계","合计","Total","4115","380377","4087","28","820","13462","2021년 11월 24일 00시","2021-11-24 13:30:11.829","","",""
