"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-25 09:04:56.335","16","6419","검역","隔離區","Lazaretto","5","6259","0","5","-","13499","2021년 11월 25일 00시","null","10","1","19"
"","","2021-11-25 09:04:56.335","9","3544","제주","济州","Jeju","29","3273","29","0","525","13498","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.335","52","14608","경남","庆南","Gyeongsangnam-do","74","13645","72","2","437","13497","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.335","102","10818","경북","庆北","Gyeongsangbuk-do","98","10179","97","1","410","13496","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.334","25","4256","전남","全南","Jeollanam-do","42","3795","42","0","230","13495","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.334","72","6092","전북","全北","Jeollabuk-do","35","5597","35","0","338","13494","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.334","76","12511","충남","忠南","Chungcheongnam-do","111","11336","110","1","590","13493","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.334","89","8664","충북","忠北","Chungcheongbuk-do","39","8283","39","0","541","13492","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.334","71","8291","강원","江原","Gangwon-do","87","7540","86","1","537","13491","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.333","1118","128336","경기","京畿","Gyeonggi-do","1102","113310","1096","6","956","13490","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.333","2","1492","세종","世宗","Sejong","20","1397","20","0","419","13489","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.333","57","5611","울산","蔚山","Ulsan","13","5468","13","0","494","13488","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.333","59","8334","대전","大田","Daejeon","50","7786","50","0","569","13487","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.332","30","6054","광주","光州","Gwangju","35","5617","35","0","417","13486","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.332","136","23379","인천","仁川","Incheon","260","20595","259","1","794","13485","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.332","304","18507","대구","大邱","Daegu","81","17581","80","1","765","13484","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.332","179","15680","부산","釜山","Busan","97","14462","97","0","462","13483","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.331","1004","146406","서울","首尔","Seoul","1760","125728","1757","3","1514","13482","2021년 11월 25일 00시","null","","",""
"","","2021-11-25 09:04:56.331","3401","429002","합계","合计","Total","3938","381851","3917","21","828","13481","2021년 11월 25일 00시","null","","",""
