"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-08-31 09:00:00.000","2285","251416","합계","合计","Total","1371","221701","27430","1332","39","485.09","11210","2021년 08월 31일 00시","2021-09-16 10:11:33.897","10","1","38"
"","","2021-08-31 09:00:00.000","583","79352","서울","首尔","Seoul","456","69401","9368","452","4","820.73","11209","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","148","11386","부산","釜山","Busan","44","10272","966","44","0","335.68","11208","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","227","13646","대구","大邱","Daegu","51","12629","790","50","1","564.27","11207","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","77","11827","인천","仁川","Incheon","73","10492","1258","72","1","401.89","11206","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","25","4053","광주","光州","Gwangju","19","3795","233","17","2","279.51","11205","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","36","5647","대전","大田","Daejeon","34","4737","874","34","0","385.76","11204","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","41","4175","울산","蔚山","Ulsan","24","3794","340","24","0","367.51","11203","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","1","993","세종","世宗","Sejong","8","891","101","8","0","279.07","11202","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","747","71081","경기","京畿","Gyeonggi-do","433","61601","8733","419","14","529.39","11201","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","59","5460","강원","江原","Gangwon-do","30","5005","396","29","1","353.89","11200","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","73","5152","충북","忠北","Chungcheongbuk-do","15","4624","455","15","0","321.83","11199","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","55","6937","충남","忠南","Chungcheongnam-do","38","5784","1098","37","1","327.06","11198","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","60","3588","전북","全北","Jeollabuk-do","26","3174","354","26","0","198.88","11197","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","19","2600","전남","全南","Jeollanam-do","14","2375","206","13","1","140.42","11196","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","88","7100","경북","庆北","Gyeongsangbuk-do","27","6394","618","27","0","269.00","11195","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","31","9980","경남","庆南","Gyeongsangnam-do","56","9091","858","56","0","298.78","11194","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
"","","2021-08-31 09:00:00.000","2","2602","제주","济州","Jeju","9","2330","270","8","1","385.69","11193","2021년 08월 31일 00시","2021-09-16 10:11:33.897","","",""
