"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-20 08:51:46.4","16","6394","검역","隔離區","Lazaretto","6","6244","134","0","6","-","13404","2021년 11월 20일 00시","null","10","1","19"
"","","2021-11-20 08:51:46.4","9","3432","제주","济州","Jeju","23","3201","222","23","0","509","13403","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.4","47","14226","경남","庆南","Gyeongsangnam-do","79","13384","795","79","0","426","13402","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.4","100","10539","경북","庆北","Gyeongsangbuk-do","35","10014","425","35","0","399","13401","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.399","25","4077","전남","全南","Jeollanam-do","66","3714","338","66","0","220","13400","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.399","70","5908","전북","全北","Jeollabuk-do","32","5368","470","32","0","327","13399","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.399","74","11938","충남","忠南","Chungcheongnam-do","74","11119","745","73","1","563","13398","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.399","89","8519","충북","忠北","Chungcheongbuk-do","34","8172","258","34","0","532","13397","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.399","69","7943","강원","江原","Gangwon-do","59","7396","478","59","0","515","13396","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.398","1061","123466","경기","京畿","Gyeonggi-do","993","112206","10199","988","5","920","13395","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.398","2","1445","세종","世宗","Sejong","7","1382","61","7","0","406","13394","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.398","57","5561","울산","蔚山","Ulsan","5","5433","71","5","0","490","13393","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.398","56","8086","대전","大田","Daejeon","32","7676","354","32","0","552","13392","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.398","29","5791","광주","光州","Gwangju","39","5506","256","39","0","399","13391","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.397","126","22400","인천","仁川","Incheon","204","20207","2067","204","0","761","13390","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.397","296","18201","대구","大邱","Daegu","61","17284","621","61","0","753","13389","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.397","177","15231","부산","釜山","Busan","86","14162","892","85","1","449","13388","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.397","941","139154","서울","首尔","Seoul","1377","121915","16298","1372","5","1439","13387","2021년 11월 20일 00시","null","","",""
"","","2021-11-20 08:51:46.396","3244","412311","합계","合计","Total","3212","374383","34684","3194","18","796","13386","2021년 11월 20일 00시","null","","",""
