"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-19 08:55:12.68","16","6388","검역","隔離區","Lazaretto","12","6236","136","0","12","-","13385","2021년 11월 19일 00시","null","10","1","19"
"","","2021-11-19 08:55:12.68","9","3409","제주","济州","Jeju","31","3190","210","31","0","505","13384","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.68","47","14147","경남","庆南","Gyeongsangnam-do","78","13274","826","78","0","424","13383","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.68","100","10504","경북","庆北","Gyeongsangbuk-do","49","9951","453","49","0","398","13382","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.68","25","4011","전남","全南","Jeollanam-do","46","3705","281","46","0","217","13381","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.679","70","5876","전북","全北","Jeollabuk-do","24","5340","466","24","0","326","13380","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.679","73","11864","충남","忠南","Chungcheongnam-do","56","10914","877","56","0","559","13379","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.679","88","8485","충북","忠北","Chungcheongbuk-do","20","8113","284","20","0","530","13378","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.679","68","7884","강원","江原","Gangwon-do","72","7362","454","72","0","511","13377","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.678","1054","122473","경기","京畿","Gyeonggi-do","849","109039","12380","844","5","912","13376","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.678","2","1438","세종","世宗","Sejong","3","1380","56","3","0","404","13375","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.678","57","5556","울산","蔚山","Ulsan","4","5424","75","4","0","489","13374","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.678","56","8054","대전","大田","Daejeon","53","7628","370","53","0","550","13373","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.678","29","5752","광주","光州","Gwangju","24","5493","230","24","0","397","13372","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.677","125","22196","인천","仁川","Incheon","188","19646","2425","187","1","754","13371","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.677","295","18140","대구","大邱","Daegu","47","17236","609","47","0","750","13370","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.677","175","15145","부산","釜山","Busan","77","14112","858","76","1","446","13369","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.677","926","137777","서울","首尔","Seoul","1401","120680","16171","1397","4","1425","13368","2021년 11월 19일 00시","null","","",""
"","","2021-11-19 08:55:12.676","3215","409099","합계","合计","Total","3034","368723","37161","3011","23","789","13367","2021년 11월 19일 00시","null","","",""
