"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-12-07 09:03:51.87","16","6506","검역","隔離區","Lazaretto","5","6310","0","5","-","13765","2021년 12월 07일 00시","null","10","1","19"
"","","2021-12-07 09:03:51.87","9","3920","제주","济州","Jeju","61","3590","60","1","581","13764","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.87","63","15836","경남","庆南","Gyeongsangnam-do","129","14608","128","1","474","13763","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.87","115","12052","경북","庆北","Gyeongsangbuk-do","129","10798","128","1","457","13762","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.87","27","4727","전남","全南","Jeollanam-do","58","4216","56","2","255","13761","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.869","80","6787","전북","全北","Jeollabuk-do","74","6091","74","0","376","13760","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.869","87","13929","충남","忠南","Chungcheongnam-do","135","12172","134","1","657","13759","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.869","95","9316","충북","忠北","Chungcheongbuk-do","80","8608","80","0","582","13758","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.869","78","9437","강원","江原","Gangwon-do","109","8263","108","1","612","13757","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.868","1304","143806","경기","京畿","Gyeonggi-do","1321","120275","1315","6","1071","13756","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.868","3","1643","세종","世宗","Sejong","11","1508","10","1","462","13755","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.868","57","5747","울산","蔚山","Ulsan","14","5573","14","0","506","13754","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.868","74","9400","대전","大田","Daejeon","121","8213","118","3","642","13753","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.868","31","6567","광주","光州","Gwangju","47","6107","47","0","453","13752","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.867","166","26780","인천","仁川","Incheon","251","22664","248","3","910","13751","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.867","325","19695","대구","大邱","Daegu","129","18281","129","0","814","13750","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.867","188","17457","부산","釜山","Busan","160","15453","160","0","515","13749","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.867","1239","168705","서울","首尔","Seoul","2120","138628","2115","5","1745","13748","2021년 12월 07일 00시","null","","",""
"","","2021-12-07 09:03:51.866","3957","482310","합계","合计","Total","4954","411358","4924","30","931","13747","2021년 12월 07일 00시","null","","",""
