"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-26 09:03:24.525","16","6423","검역","隔離區","Lazaretto","4","6265","0","4","-","13518","2021년 11월 26일 00시","null","10","1","19"
"","","2021-11-26 09:03:24.524","9","3576","제주","济州","Jeju","32","3310","32","0","530","13517","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.524","52","14694","경남","庆南","Gyeongsangnam-do","86","13691","86","0","440","13516","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.524","103","10934","경북","庆北","Gyeongsangbuk-do","116","10196","116","0","414","13515","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.524","25","4294","전남","全南","Jeollanam-do","38","3826","38","0","232","13514","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.524","72","6138","전북","全北","Jeollabuk-do","46","5653","45","1","340","13513","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.523","76","12597","충남","忠南","Chungcheongnam-do","87","11381","87","0","594","13512","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.523","90","8689","충북","忠北","Chungcheongbuk-do","25","8312","25","0","543","13511","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.523","71","8344","강원","江原","Gangwon-do","53","7583","53","0","541","13510","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.523","1131","129456","경기","京畿","Gyeonggi-do","1120","113517","1115","5","964","13509","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.522","2","1507","세종","世宗","Sejong","15","1406","15","0","424","13508","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.522","57","5624","울산","蔚山","Ulsan","13","5476","13","0","495","13507","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.522","60","8378","대전","大田","Daejeon","44","7810","44","0","572","13506","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.521","30","6085","광주","光州","Gwangju","31","5644","30","1","420","13505","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.521","137","23627","인천","仁川","Incheon","248","20663","245","3","803","13504","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.521","305","18610","대구","大邱","Daegu","103","17627","103","0","770","13503","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.521","179","15778","부산","釜山","Busan","98","14530","96","2","465","13502","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.52","1025","148147","서울","首尔","Seoul","1742","126661","1739","3","1532","13501","2021년 11월 26일 00시","null","","",""
"","","2021-11-26 09:03:24.52","3440","432901","합계","合计","Total","3901","383551","3882","19","835","13500","2021년 11월 26일 00시","null","","",""
