"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-12-02 09:02:44.572","16","6474","검역","隔離區","Lazaretto","5","6294","0","5","-","13651","2021년 12월 02일 00시","null","10","1","19"
"","","2021-12-02 09:02:44.572","9","3762","제주","济州","Jeju","31","3447","31","0","558","13650","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.572","56","15236","경남","庆南","Gyeongsangnam-do","94","14215","94","0","456","13649","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.572","110","11471","경북","庆北","Gyeongsangbuk-do","106","10426","106","0","435","13648","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.571","27","4498","전남","全南","Jeollanam-do","39","4049","37","2","243","13647","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.571","76","6453","전북","全北","Jeollabuk-do","71","5879","71","0","358","13646","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.571","80","13174","충남","忠南","Chungcheongnam-do","149","11789","149","0","621","13645","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.571","92","8942","충북","忠北","Chungcheongbuk-do","49","8464","49","0","559","13644","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.57","75","8889","강원","江原","Gangwon-do","145","7952","142","3","576","13643","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.57","1215","136546","경기","京畿","Gyeonggi-do","1495","119023","1490","5","1017","13642","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.57","2","1588","세종","世宗","Sejong","8","1450","8","0","446","13641","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.57","57","5675","울산","蔚山","Ulsan","18","5519","18","0","500","13640","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.57","70","8809","대전","大田","Daejeon","166","8033","166","0","602","13639","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.569","30","6353","광주","光州","Gwangju","39","5884","39","0","438","13638","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.569","154","25299","인천","仁川","Incheon","355","21978","354","1","860","13637","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.569","317","19114","대구","大邱","Daegu","70","17964","69","1","790","13636","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.569","183","16555","부산","釜山","Busan","158","15022","157","1","488","13635","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.568","1136","158774","서울","首尔","Seoul","2268","133197","2262","6","1642","13634","2021년 12월 02일 00시","null","","",""
"","","2021-12-02 09:02:44.568","3705","457612","합계","合计","Total","5266","400585","5242","24","883","13633","2021년 12월 02일 00시","null","","",""
