header__resultCode	header__resultMsg	body__items__item__createDt	body__items__item__deathCnt	body__items__item__defCnt	body__items__item__gubun	body__items__item__gubunCn	body__items__item__gubunEn	body__items__item__incDec	body__items__item__isolClearCnt	body__items__item__isolIngCnt	body__items__item__localOccCnt	body__items__item__overFlowCnt	body__items__item__qurRate	body__items__item__seq	body__items__item__stdDay	body__items__item__updateDt	body__numOfRows	body__pageNo	body__totalCount
0	NORMAL SERVICE.	00:00.0	5	3990	°Ë¿ª	Ì°×îÏ¡	Lazaretto	10	3810	175	0	10	0	9786	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9	10	1	19
		00:00.0	1	1221	Á¦ÁÖ	?ñ¶	Jeju	6	1135	85	6	0	182.04	9787	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	20	5075	°æ³²	?Ñõ	Gyeongsangnam-do	14	4852	203	12	2	150.98	9788	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	86	4839	°æºÏ	?ÝÁ	Gyeongsangbuk-do	11	4657	96	10	1	181.75	9789	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	15	1574	Àü³²	îïÑõ	Jeollanam-do	4	1469	90	4	0	84.41	9790	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	58	2311	ÀüºÏ	îïÝÁ	Jeollabuk-do	4	2205	48	3	1	127.17	9791	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	41	3681	Ãæ³²	õ÷Ñõ	Chungcheongnam-do	7	3550	90	7	0	173.43	9792	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	69	3216	ÃæºÏ	õ÷ÝÁ	Chungcheongbuk-do	19	2961	186	19	0	201.08	9793	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	51	3393	°­¿ø	Ë°ê«	Gangwon-do	9	3215	127	9	0	220.25	9794	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	649	42066	°æ±â	ÌÈÑ²	Gyeonggi-do	153	39463	1954	152	1	317.47	9795	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	1	520	¼¼Á¾	á¦ðó	Sejong	1	487	32	1	0	151.9	9796	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	40	2722	¿ï»ê	ê¥ß£	Ulsan	11	2602	80	11	0	237.31	9797	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	25	2424	´ëÀü	ÓÞï£	Daejeon	13	2186	213	12	1	164.43	9798	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	23	2881	±¤ÁÖ	ÎÃñ¶	Gwangju	2	2819	39	1	1	197.78	9799	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	61	6509	ÀÎÃµ	ìÒô¹	Incheon	22	6242	206	21	1	220.19	9800	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	222	10488	´ë±¸	ÓÞÏÈ	Daegu	11	10024	242	11	0	430.46	9801	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	124	5995	ºÎ»ê	Ý¼ß£	Busan	10	5658	213	9	1	175.71	9802	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	505	47332	¼­¿ï	âÏ?	Seoul	200	44466	2361	197	3	486.28	9803	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
		00:00.0	1996	150237	ÇÕ°è	ùê?	Total	507	141801	6440	485	22	289.77	9804	2021³â 06¿ù 18ÀÏ 00½Ã	11:33.9			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
