"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-12-03 09:10:27.046","16","6485","검역","隔離區","Lazaretto","11","6295","0","11","-","13689","2021년 12월 03일 00시","null","10","1","19"
"","","2021-12-03 09:10:27.046","9","3782","제주","济州","Jeju","20","3474","20","0","561","13688","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.046","56","15335","경남","庆南","Gyeongsangnam-do","99","14298","99","0","459","13687","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.046","110","11553","경북","庆北","Gyeongsangbuk-do","82","10476","82","0","438","13686","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.046","27","4533","전남","全南","Jeollanam-do","35","4049","34","1","245","13685","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.045","76","6519","전북","全北","Jeollabuk-do","66","5917","66","0","361","13684","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.045","83","13330","충남","忠南","Chungcheongnam-do","156","11834","155","1","628","13683","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.045","92","9039","충북","忠北","Chungcheongbuk-do","97","8495","97","0","565","13682","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.045","75","8986","강원","江原","Gangwon-do","98","8019","98","0","582","13681","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.045","1231","138011","경기","京畿","Gyeonggi-do","1465","119243","1464","1","1028","13680","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.044","2","1595","세종","世宗","Sejong","7","1458","7","0","448","13679","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.044","57","5695","울산","蔚山","Ulsan","20","5532","19","1","501","13678","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.044","71","8906","대전","大田","Daejeon","97","8083","97","0","608","13677","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.044","30","6398","광주","光州","Gwangju","45","5934","45","0","441","13676","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.044","155","25606","인천","仁川","Incheon","307","22103","306","1","870","13675","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.043","318","19213","대구","大邱","Daegu","99","18017","99","0","794","13674","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.043","183","16696","부산","釜山","Busan","141","15106","141","0","492","13673","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.043","1148","160873","서울","首尔","Seoul","2099","135086","2094","5","1664","13672","2021년 12월 03일 00시","null","","",""
"","","2021-12-03 09:10:27.043","3739","462555","합계","合计","Total","4944","403419","4923","21","892","13671","2021년 12월 03일 00시","null","","",""
