"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-27 09:36:03.484","16","6428","검역","隔離區","Lazaretto","5","6269","0","5","-","13537","2021년 11월 27일 00시","null","10","1","19"
"","","2021-11-27 09:36:03.484","9","3603","제주","济州","Jeju","27","3330","27","0","534","13536","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.484","52","14781","경남","庆南","Gyeongsangnam-do","87","13854","87","0","443","13535","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.484","105","11029","경북","庆北","Gyeongsangbuk-do","96","10246","95","1","418","13534","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.483","25","4330","전남","全南","Jeollanam-do","36","3854","36","0","234","13533","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.483","73","6188","전북","全北","Jeollabuk-do","50","5704","50","0","343","13532","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.483","76","12675","충남","忠南","Chungcheongnam-do","78","11515","76","2","598","13531","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.483","90","8728","충북","忠北","Chungcheongbuk-do","39","8340","38","1","545","13530","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.483","72","8437","강원","江原","Gangwon-do","93","7642","93","0","547","13529","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.482","1151","130565","경기","京畿","Gyeonggi-do","1109","117048","1105","4","972","13528","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.482","2","1518","세종","世宗","Sejong","11","1417","11","0","427","13527","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.482","57","5631","울산","蔚山","Ulsan","7","5485","6","1","496","13526","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.482","60","8416","대전","大田","Daejeon","38","7884","38","0","575","13525","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.482","30","6120","광주","光州","Gwangju","35","5671","35","0","422","13524","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.481","139","23915","인천","仁川","Incheon","288","21393","287","1","813","13523","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.481","308","18686","대구","大邱","Daegu","76","17676","76","0","773","13522","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.481","181","15883","부산","釜山","Busan","105","14584","104","1","468","13521","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.481","1046","150035","서울","首尔","Seoul","1888","128229","1881","7","1552","13520","2021년 11월 27일 00시","null","","",""
"","","2021-11-27 09:36:03.48","3492","436968","합계","合计","Total","4068","390141","4045","23","843","13519","2021년 11월 27일 00시","null","","",""
