"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-18 08:33:17.725","16","6376","검역","隔離區","Lazaretto","7","6233","127","0","7","-","13366","2021년 11월 18일 00시","null","10","1","19"
"","","2021-11-18 08:33:17.725","9","3378","제주","济州","Jeju","28","3168","201","28","0","501","13365","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.725","46","14069","경남","庆南","Gyeongsangnam-do","98","13211","812","98","0","421","13364","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.725","99","10455","경북","庆北","Gyeongsangbuk-do","51","9895","461","50","1","396","13363","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.725","25","3965","전남","全南","Jeollanam-do","40","3683","257","40","0","214","13362","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.724","70","5852","전북","全北","Jeollabuk-do","54","5326","456","54","0","324","13361","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.724","72","11808","충남","忠南","Chungcheongnam-do","82","10869","867","80","2","557","13360","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.724","88","8465","충북","忠北","Chungcheongbuk-do","26","8085","292","26","0","529","13359","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.724","68","7812","강원","江原","Gangwon-do","62","7340","404","61","1","506","13358","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.723","1047","121624","경기","京畿","Gyeonggi-do","967","108892","11685","965","2","906","13357","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.723","2","1435","세종","世宗","Sejong","10","1377","56","10","0","403","13356","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.723","57","5552","울산","蔚山","Ulsan","10","5419","76","9","1","489","13355","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.723","56","8001","대전","大田","Daejeon","36","7610","335","36","0","547","13354","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.723","29","5728","광주","光州","Gwangju","34","5468","231","34","0","395","13353","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.722","123","22008","인천","仁川","Incheon","195","19577","2308","195","0","748","13352","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.722","293","18093","대구","大邱","Daegu","73","17178","622","73","0","748","13351","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.722","175","15068","부산","釜山","Busan","90","14071","822","90","0","444","13350","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.722","912","136376","서울","首尔","Seoul","1429","120176","15288","1423","6","1411","13349","2021년 11월 18일 00시","null","","",""
"","","2021-11-18 08:33:17.722","3187","406065","합계","合计","Total","3292","367578","35300","3272","20","783","13348","2021년 11월 18일 00시","null","","",""
