"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-28 08:55:08.758","16","6438","검역","隔離區","Lazaretto","10","6274","0","10","-","13556","2021년 11월 28일 00시","null","10","1","19"
"","","2021-11-28 08:55:08.758","9","3638","제주","济州","Jeju","35","3365","35","0","539","13555","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.758","56","14870","경남","庆南","Gyeongsangnam-do","89","13936","88","1","445","13554","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.758","106","11132","경북","庆北","Gyeongsangbuk-do","103","10279","103","0","422","13553","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.758","25","4355","전남","全南","Jeollanam-do","25","3899","25","0","235","13552","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.757","73","6233","전북","全北","Jeollabuk-do","45","5751","44","1","345","13551","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.757","77","12796","충남","忠南","Chungcheongnam-do","121","11559","120","1","603","13550","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.757","90","8753","충북","忠北","Chungcheongbuk-do","25","8367","23","2","547","13549","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.757","72","8500","강원","江原","Gangwon-do","63","7680","61","2","551","13548","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.756","1167","131655","경기","京畿","Gyeonggi-do","1090","117878","1083","7","981","13547","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.756","2","1523","세종","世宗","Sejong","5","1427","5","0","428","13546","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.756","57","5635","울산","蔚山","Ulsan","4","5495","4","0","496","13545","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.756","63","8469","대전","大田","Daejeon","53","7913","53","0","579","13544","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.756","30","6172","광주","光州","Gwangju","52","5706","52","0","426","13543","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.755","141","24193","인천","仁川","Incheon","278","21553","276","2","822","13542","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.755","311","18792","대구","大邱","Daegu","106","17756","106","0","777","13541","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.755","181","16031","부산","釜山","Busan","148","14679","147","1","473","13540","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.755","1072","151711","서울","首尔","Seoul","1676","128794","1668","8","1569","13539","2021년 11월 28일 00시","null","","",""
"","","2021-11-28 08:55:08.754","3548","440896","합계","合计","Total","3928","392311","3893","35","851","13538","2021년 11월 28일 00시","null","","",""
