"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-12 09:27:26.293","16","6351","검역","隔離區","Lazaretto","4","6205","130","0","4","-","13252","2021년 11월 12일 00시","null","10","1","19"
"","","2021-11-12 09:27:26.293","5","3245","제주","济州","Jeju","21","3102","138","21","0","481","13251","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.293","44","13729","경남","庆南","Gyeongsangnam-do","68","12915","770","68","0","411","13250","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.292","96","10258","경북","庆北","Gyeongsangbuk-do","41","9616","546","41","0","389","13249","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.292","22","3796","전남","全南","Jeollanam-do","15","3539","235","15","0","205","13248","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.292","69","5553","전북","全北","Jeollabuk-do","65","5144","340","65","0","308","13247","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.292","68","11425","충남","忠南","Chungcheongnam-do","59","10489","868","59","0","539","13246","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.291","87","8315","충북","忠北","Chungcheongbuk-do","26","7850","378","26","0","519","13245","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.291","68","7548","강원","江原","Gangwon-do","30","7167","313","30","0","489","13244","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.291","1003","116986","경기","京畿","Gyeonggi-do","791","105668","10315","790","1","871","13243","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.291","2","1399","세종","世宗","Sejong","6","1369","28","6","0","393","13242","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.291","57","5507","울산","蔚山","Ulsan","4","5387","63","4","0","485","13241","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.29","56","7802","대전","大田","Daejeon","25","7502","244","25","0","533","13240","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.29","29","5573","광주","光州","Gwangju","11","5367","177","11","0","384","13239","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.29","114","21099","인천","仁川","Incheon","120","18944","2041","120","0","717","13238","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.29","284","17732","대구","大邱","Daegu","70","16904","544","70","0","733","13237","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.289","170","14574","부산","釜山","Busan","63","13753","651","63","0","430","13236","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.289","861","129827","서울","首尔","Seoul","949","115694","13272","944","5","1343","13235","2021년 11월 12일 00시","null","","",""
"","","2021-11-12 09:27:26.289","3051","390719","합계","合计","Total","2368","356615","31053","2358","10","754","13234","2021년 11월 12일 00시","null","","",""
