"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-30 09:02:53.631","16","6449","검역","隔離區","Lazaretto","8","6284","0","8","-","13594","2021년 11월 30일 00시","null","10","1","19"
"","","2021-11-30 09:02:53.63","9","3704","제주","济州","Jeju","22","3416","21","1","549","13593","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.63","56","15015","경남","庆南","Gyeongsangnam-do","60","14087","60","0","450","13592","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.63","109","11268","경북","庆北","Gyeongsangbuk-do","68","10359","68","0","427","13591","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.63","26","4419","전남","全南","Jeollanam-do","36","3991","35","1","239","13590","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.63","75","6332","전북","全北","Jeollabuk-do","50","5804","50","0","351","13589","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.629","77","12930","충남","忠南","Chungcheongnam-do","81","11689","81","0","610","13588","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.629","92","8845","충북","忠北","Chungcheongbuk-do","59","8416","59","0","553","13587","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.629","73","8640","강원","江原","Gangwon-do","84","7805","84","0","560","13586","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.629","1192","133472","경기","京畿","Gyeonggi-do","909","118526","907","2","994","13585","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.628","2","1560","세종","世宗","Sejong","22","1434","22","0","438","13584","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.628","57","5640","울산","蔚山","Ulsan","3","5510","3","0","496","13583","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.628","64","8555","대전","大田","Daejeon","43","7958","41","2","584","13582","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.628","30","6285","광주","光州","Gwangju","52","5790","51","1","433","13581","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.628","148","24618","인천","仁川","Incheon","192","21742","191","1","837","13580","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.627","315","18958","대구","大邱","Daegu","78","17860","77","1","784","13579","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.627","183","16254","부산","釜山","Busan","79","14831","77","2","479","13578","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.627","1100","154286","서울","首尔","Seoul","1186","130568","1176","10","1596","13577","2021년 11월 30일 00시","null","","",""
"","","2021-11-30 09:02:53.627","3624","447230","합계","合计","Total","3032","396070","3003","29","863","13576","2021년 11월 30일 00시","null","","",""
