"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-17 08:45:32.279","16","6369","검역","隔離區","Lazaretto","5","6231","122","0","5","-","13347","2021년 11월 17일 00시","null","10","1","19"
"","","2021-11-17 08:45:32.278","8","3350","제주","济州","Jeju","23","3156","186","23","0","497","13346","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.278","46","13971","경남","庆南","Gyeongsangnam-do","66","13170","755","66","0","418","13345","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.278","98","10404","경북","庆北","Gyeongsangbuk-do","26","9834","472","26","0","394","13344","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.278","25","3925","전남","全南","Jeollanam-do","36","3661","239","36","0","212","13343","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.278","70","5798","전북","全北","Jeollabuk-do","50","5299","429","50","0","321","13342","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.277","68","11726","충남","忠南","Chungcheongnam-do","71","10813","845","70","1","553","13341","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.277","88","8439","충북","忠北","Chungcheongbuk-do","28","8052","299","28","0","527","13340","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.277","68","7750","강원","江原","Gangwon-do","54","7318","364","53","1","502","13339","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.277","1043","120658","경기","京畿","Gyeonggi-do","964","108654","10961","956","8","899","13338","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.276","2","1425","세종","世宗","Sejong","16","1376","47","16","0","400","13337","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.276","57","5542","울산","蔚山","Ulsan","14","5418","67","14","0","488","13336","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.276","56","7965","대전","大田","Daejeon","46","7587","322","46","0","544","13335","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.276","29","5694","광주","光州","Gwangju","34","5443","222","33","1","393","13334","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.275","121","21813","인천","仁川","Incheon","159","19530","2162","157","2","741","13333","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.275","291","18020","대구","大邱","Daegu","56","17148","581","54","2","745","13332","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.275","174","14978","부산","釜山","Busan","103","14028","776","103","0","442","13331","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.275","898","134948","서울","首尔","Seoul","1436","119371","14679","1432","4","1396","13330","2021년 11월 17일 00시","null","","",""
"","","2021-11-17 08:45:32.274","3158","402775","합계","合计","Total","3187","366089","33528","3163","24","777","13329","2021년 11월 17일 00시","null","","",""
