"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-12-01 09:01:47.038","16","6469","검역","隔離區","Lazaretto","20","6288","0","20","-","13613","2021년 12월 01일 00시","null","10","1","19"
"","","2021-12-01 09:01:47.038","9","3731","제주","济州","Jeju","27","3430","27","0","553","13612","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.038","56","15142","경남","庆南","Gyeongsangnam-do","127","14160","126","1","453","13611","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.038","110","11365","경북","庆北","Gyeongsangbuk-do","97","10388","97","0","431","13610","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.037","26","4459","전남","全南","Jeollanam-do","40","4019","40","0","241","13609","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.037","76","6382","전북","全北","Jeollabuk-do","50","5850","50","0","354","13608","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.037","78","13025","충남","忠南","Chungcheongnam-do","96","11738","95","1","614","13607","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.037","92","8893","충북","忠北","Chungcheongbuk-do","48","8435","48","0","556","13606","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.037","74","8745","강원","江原","Gangwon-do","105","7883","105","0","567","13605","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.036","1202","135053","경기","京畿","Gyeonggi-do","1582","118742","1576","6","1006","13604","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.036","2","1580","세종","世宗","Sejong","20","1440","19","1","444","13603","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.036","57","5657","울산","蔚山","Ulsan","17","5512","15","2","498","13602","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.036","68","8643","대전","大田","Daejeon","88","8002","86","2","590","13601","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.035","30","6314","광주","光州","Gwangju","29","5844","29","0","435","13600","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.037","151","24944","인천","仁川","Incheon","326","21895","322","4","848","13599","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.035","315","19044","대구","大邱","Daegu","86","17905","86","0","787","13598","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.035","183","16397","부산","釜山","Busan","143","14925","142","1","483","13597","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.035","1113","156507","서울","首尔","Seoul","2222","131867","2212","10","1619","13596","2021년 12월 01일 00시","null","","",""
"","","2021-12-01 09:01:47.034","3659","452350","합계","合计","Total","5123","398323","5075","48","873","13595","2021년 12월 01일 00시","null","","",""
